# ----------------------------------------,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,
# 20200101-20200930,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Hour of Day,Organic Searches,AdX Clicks,AdX Coverage,AdX CTR,AdX eCPM,AdX Impressions,AdX Impressions / Session,AdX Monetized Pageviews,AdX Revenue,AdX Revenue / 1000 Sessions,AdX Viewable Impressions %
20200623,2020062310,7,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200629,2020062912,7,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200102,2020010208,6,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200613,2020061307,6,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200711,2020071108,6,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200807,2020080711,6,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200903,2020090310,6,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200904,2020090413,6,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200925,2020092509,6,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200101,2020010107,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200108,2020010810,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200108,2020010819,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200120,2020012014,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200122,2020012208,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200129,2020012913,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200131,2020013115,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200205,2020020514,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200218,2020021817,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200614,2020061415,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200623,2020062317,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200629,2020062915,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200707,2020070708,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200709,2020070916,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200717,2020071708,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200718,2020071808,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200718,2020071809,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200723,2020072314,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200725,2020072515,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200815,2020081511,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200819,2020081914,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200904,2020090410,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200914,2020091412,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200926,2020092608,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200929,2020092910,5,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200101,2020010108,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200102,2020010215,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200103,2020010312,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200104,2020010409,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200105,2020010508,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200106,2020010608,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200109,2020010908,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200115,2020011509,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200116,2020011621,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200119,2020011908,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200119,2020011909,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200120,2020012009,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200120,2020012015,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200124,2020012410,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200124,2020012412,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200124,2020012413,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200127,2020012710,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200127,2020012711,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200203,2020020313,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200204,2020020416,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200205,2020020509,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200205,2020020510,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200217,2020021711,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200219,2020021912,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200219,2020021914,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200220,2020022004,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200220,2020022019,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200226,2020022610,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200308,2020030810,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200609,2020060915,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200613,2020061316,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200615,2020061520,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200616,2020061617,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200616,2020061619,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200619,2020061915,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200623,2020062309,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200623,2020062313,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200625,2020062509,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200625,2020062520,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200627,2020062709,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200629,2020062911,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200629,2020062914,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200702,2020070211,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200703,2020070307,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200705,2020070512,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200705,2020070516,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200707,2020070710,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200709,2020070911,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200715,2020071515,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200715,2020071518,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200716,2020071610,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200719,2020071909,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200720,2020072013,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200722,2020072210,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200723,2020072311,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200723,2020072319,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200724,2020072411,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200725,2020072509,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200726,2020072607,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200726,2020072617,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200727,2020072708,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200727,2020072713,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200729,2020072909,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200730,2020073011,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200731,2020073108,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200731,2020073114,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200801,2020080109,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200801,2020080111,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
20200803,2020080309,4,0,0.00%,0.00%,$0.00,0,0,0,$0.00,$0.00,0.00%
