# ----------------------------------------
# All Web Site Data
# Flat File Report
# 20201001-20210314
# ----------------------------------------

Date,Hour of Day,Organic Searches,AdX Clicks,AdX Coverage,AdX CTR,AdX eCPM,AdX Impressions,AdX Impressions / Session,AdX Monetized Pageviews,AdX Revenue,AdX Revenue / 1000 Sessions,AdX Viewable Impressions %
20201010,2020101007,38,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201008,2020100808,20,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210226,2021022615,8,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201005,2020100514,7,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201222,2020122211,7,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201017,2020101708,6,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201219,2020121907,6,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201221,2020122110,6,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201228,2020122813,6,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201229,2020122913,6,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201005,2020100509,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201011,2020101110,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201013,2020101313,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201020,2020102009,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201215,2020121509,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201215,2020121516,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201220,2020122014,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201228,2020122808,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201229,2020122911,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210103,2021010314,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210111,2021011108,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210123,2021012310,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210205,2021020508,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210208,2021020820,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210213,2021021307,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210214,2021021410,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210216,2021021607,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210228,2021022813,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20210305,2021030509,5,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201003,2020100310,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201004,2020100418,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201007,2020100708,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201007,2020100709,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201009,2020100914,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201011,2020101112,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201015,2020101516,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201016,2020101611,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201018,2020101814,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201020,2020102014,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
20201023,2020102309,4,0,0.00%,0.00%,$0.00,0,0.00,0,$0.00,$0.00,0.00%
