# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,,,,,,,,,,,
# 20200101-20200930,,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,Hour of Day,Screen Name,% Sessions with Search,Avg. % Conversion Probability,Avg. Search Depth,Avg. Value,Entrances,Entrances / Pageviews,Event Value,Events / Session with Event,Results Pageviews,Search Depth,Search Exits,Search Refinements,Sessions with Event,Sessions with Search,Time after Search,Time on Page,Time on Screen,Total Events,Unique Dimension Combinations,Unique Events
20200213,2020021313,fareharbor.com/embeds/book/adventurehaus/items/?flow=26727&full-items=yes,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,0,1,0
20200213,2020021313,fareharbor.com/embeds/book/adventurehaus/items/?flow=27090&full-items=yes,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:23,00:00:00,0,2,0
20200213,2020021313,fareharbor.com/embeds/book/adventurehaus/items/?flow=27092&full-items=yes,0.00%,0,0,0,1,20.00%,0,0,0,0,0,0,0,0,00:00:00,00:02:17,00:00:00,0,2,0
20200213,2020021313,fareharbor.com/embeds/book/adventurehaus/items/?flow=27093&full-items=yes,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:02,00:00:00,0,1,0
20200213,2020021313,fareharbor.com/embeds/book/adventurehaus/items/69072/availability/353328395/book/?flow=165108&suggested-flow=yes,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:06,00:00:00,0,1,0
20200213,2020021313,fareharbor.com/embeds/book/adventurehaus/items/69072/calendar/2020/02/?flow=165108&suggested-flow=yes,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:30,00:00:00,0,1,0
20200213,2020021313,fareharbor.com/embeds/book/adventurehaus/items/69093/availability/353329164/book/?flow=122601,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:05:01,00:00:00,0,2,0
20200213,2020021313,fareharbor.com/embeds/book/adventurehaus/items/69093/availability/353329164/book/?flow=165108&suggested-flow=yes,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:02:41,00:00:00,0,1,0
20200213,2020021313,fareharbor.com/embeds/book/adventurehaus/items/69093/availability/353329164/book/?full-items=yes&flow=26721,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,0,1,0
20200213,2020021313,fareharbor.com/embeds/book/adventurehaus/items/69093/availability/353329173/book/?flow=122601,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,0,2,0
