# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20200101-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Browser,Device Category,Date,Sessions,Avg. Session Duration,Bounce Rate,Users,Pages / Session,Transactions
Safari,mobile,20201010,53,00:01:45,35.85%,45,2.55,1
Safari,mobile,20201229,48,00:02:31,33.33%,36,2.75,0
Safari,mobile,20200703,44,00:00:57,20.45%,36,2.66,0
Safari,mobile,20200905,44,00:03:37,36.36%,34,3.77,1
Safari,mobile,20200904,41,00:03:05,24.39%,28,4.78,3
Safari,mobile,20201230,38,00:03:29,28.95%,32,4.58,6
Safari,mobile,20200629,37,00:03:19,18.92%,25,4.16,1
Safari,mobile,20200913,37,00:01:31,32.43%,23,3.41,0
Safari,mobile,20201017,36,00:03:20,25.00%,26,2.5,0
Safari,mobile,20200101,35,00:01:27,45.71%,25,3,2
Safari,mobile,20200216,34,00:02:44,32.35%,24,3.65,2
Safari,mobile,20200613,34,00:00:55,38.24%,25,2.62,0
Safari,mobile,20200711,34,00:02:18,32.35%,26,3.47,1
Safari,mobile,20200718,34,00:01:42,20.59%,26,3.76,0
Safari,mobile,20200801,34,00:02:29,29.41%,27,3.18,1
Safari,mobile,20210213,34,00:01:40,50.00%,31,2.94,2
Safari,mobile,20201227,33,00:03:35,24.24%,28,3.55,2
Safari,mobile,20201228,33,00:00:44,45.45%,30,2,0
Chrome,desktop,20200106,32,00:01:48,46.88%,29,2.97,2
Safari,mobile,20200120,32,00:02:20,34.38%,30,2.88,0
Safari,mobile,20200220,32,00:04:22,28.12%,19,3.34,0
Safari,mobile,20200926,32,00:04:48,18.75%,22,5.16,2
Safari,mobile,20201008,32,00:01:01,34.38%,24,2.97,1
Safari,mobile,20200119,31,00:01:40,38.71%,20,3.19,3
Safari,mobile,20200702,31,00:01:49,22.58%,21,3.16,0
Safari,mobile,20200719,31,00:00:46,32.26%,27,3.1,1
Safari,mobile,20200729,31,00:02:08,29.03%,23,3.52,1
Safari,mobile,20200814,31,00:03:25,25.81%,25,3.84,1
Safari,mobile,20201004,31,00:00:57,22.58%,23,3.13,1
Chrome,desktop,20201212,30,00:00:18,70.00%,30,1.57,0
