# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,,,,,,,,,,
# 20200101-20200930,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Hour of Day,Avg. QTY,Buy-to-Detail Rate,Cart-to-Detail Rate,Ecommerce Conversion Rate,Product Adds To Cart,Product Checkouts,Product Detail Views,Product List Clicks,Product List CTR,Product List Views,Product Refunds,Product Removes From Cart,Quantity,Quantity Added To Cart,Quantity Checked Out,Quantity Refunded,Quantity Removed From Cart,Transactions,Transactions per User,Unique Purchases
20200723,2020072309,3,0.00%,0.00%,16.67%,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,1,0.2,1
20200813,2020081315,1.5,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,1,1,2
20200215,2020021509,4,0.00%,0.00%,25.00%,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,1,0.2,1
20200930,2020093015,2,0.00%,0.00%,100.00%,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,1,0.5,2
20200721,2020072107,3,0.00%,0.00%,25.00%,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,1,0.33,1
20200808,2020080817,3,0.00%,0.00%,33.33%,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,1,0.33,1
20200723,2020072315,2,0.00%,0.00%,33.33%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.33,1
20200826,2020082610,2,0.00%,0.00%,100.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,1,1
20200630,2020063006,2.5,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,5,0,0,0,0,2,0.4,2
20200812,2020081213,1,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.5,2
20200827,2020082707,1,0.00%,0.00%,100.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,1,2
20200711,2020071108,2,0.00%,0.00%,10.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.12,1
20200718,2020071809,2,0.00%,0.00%,11.11%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.14,1
20200718,2020071816,2,0.00%,0.00%,100.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.5,1
20200721,2020072116,2,0.00%,0.00%,33.33%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.33,1
20200820,2020082009,2,0.00%,0.00%,16.67%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.17,1
20200915,2020091506,2,0.00%,0.00%,100.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,1,1
20200904,2020090407,1,0.00%,0.00%,25.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.25,2
20200918,2020091817,1.5,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,1,0.33,2
20200630,2020063009,1,0.00%,0.00%,20.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.17,2
20200703,2020070308,1,0.00%,0.00%,8.33%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.08,2
20200722,2020072210,1,0.00%,0.00%,11.11%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.14,2
20200729,2020072908,1,0.00%,0.00%,14.29%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.2,2
20200821,2020082108,1,0.00%,0.00%,33.33%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.5,2
20200922,2020092211,1,0.00%,0.00%,33.33%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.33,2
20200612,2020061217,3,0.00%,0.00%,16.67%,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,1,0.17,1
20200905,2020090512,1,0.00%,0.00%,20.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.2,2
20200523,2020052318,2,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,1,1
20200611,2020061107,2,0.00%,0.00%,16.67%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.5,1
20200731,2020073108,2,0.00%,0.00%,12.50%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.14,1
20200108,2020010818,4,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,1,0.33,1
20200629,2020062922,2,0.00%,0.00%,25.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.25,1
20200813,2020081310,2,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.5,1
20200904,2020090410,2,0.00%,0.00%,7.14%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.08,1
20200906,2020090610,2,0.00%,0.00%,10.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.1,1
20200906,2020090611,2,0.00%,0.00%,20.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.2,1
20200910,2020091015,2,0.00%,0.00%,33.33%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.33,1
20200915,2020091510,2,0.00%,0.00%,20.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.17,1
20200924,2020092418,2,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.33,1
20200220,2020022010,2,0.00%,0.00%,20.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.2,1
20200605,2020060508,1,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.5,2
20200727,2020072712,1,0.00%,0.00%,100.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.33,2
20200216,2020021618,3.5,0.00%,0.00%,33.33%,0,0,0,0,0.00%,0,0,0,7,0,0,0,0,2,0.33,2
20200624,2020062415,1,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,3,0.5,4
20200103,2020010306,3,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,1,0.5,1
20200604,2020060408,1,0.00%,0.00%,100.00%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,1,1
20200611,2020061118,1,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.5,1
20200616,2020061619,1,0.00%,0.00%,20.00%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.2,1
20200629,2020062902,1,0.00%,0.00%,100.00%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,1,1
20200630,2020063012,1,0.00%,0.00%,12.50%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.11,1
20200709,2020070916,1,0.00%,0.00%,16.67%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.17,1
20200730,2020073018,1,0.00%,0.00%,25.00%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.25,1
20200731,2020073116,1,0.00%,0.00%,100.00%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.33,1
20200804,2020080419,1,0.00%,0.00%,25.00%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.25,1
20200810,2020081015,1,0.00%,0.00%,20.00%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.2,1
20200827,2020082722,1,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.5,1
20200901,2020090108,1,0.00%,0.00%,33.33%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.33,1
20200902,2020090211,1,0.00%,0.00%,7.69%,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,1,0.11,1
20200919,2020091911,1,0.00%,0.00%,33.33%,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,2,0.4,3
20200114,2020011411,2,0.00%,0.00%,20.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.2,1
20200201,2020020109,2,0.00%,0.00%,33.33%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.33,1
20200629,2020062912,1,0.00%,0.00%,15.38%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,2,0.14,2
20200904,2020090414,2,0.00%,0.00%,9.09%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.1,1
20200909,2020090918,2,0.00%,0.00%,50.00%,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,1,0.5,1
