# ----------------------------------------
# All Web Site Data
# Flat File Report
# 20201001-20210314
# ----------------------------------------

Date,Hour,Avg. Session Duration,Avg. Time on Page,Avg. Time on Screen,Bounce Rate,Bounces,Exits,Hits,New Users,Number of Sessions per User,Pages / Session,Pageviews,Results Pageviews / Search,Screen Views,Screens / Session,Session Duration,Sessions,Total Unique Searches,Unique Pageviews,Unique Screen Views,Users
20201128,14,00:49:08,00:02:20,00:00:00,0.00%,0,1,29,1,1.00,22.00,22,0.00,0,0.00,00:49:08,1,0,11,0,1
20210203,09,00:39:35,00:05:25,00:00:00,0.00%,0,0,5,1,1.00,4.00,4,0.00,0,0.00,00:39:35,1,0,3,0,1
20201229,05,00:37:54,00:05:25,00:00:00,0.00%,0,1,9,1,1.00,8.00,8,0.00,0,0.00,00:37:54,1,0,3,0,1
20201129,10,00:33:21,00:04:46,00:00:00,0.00%,0,1,8,1,1.00,8.00,8,0.00,0,0.00,00:33:21,1,0,4,0,1
20210109,15,00:30:36,00:08:09,00:00:00,25.00%,1,3,8,4,1.00,2.00,8,0.00,0,0.00,02:02:23,4,0,7,0,4
20201223,05,00:30:07,00:03:37,00:00:00,0.00%,0,0,8,1,1.00,7.00,7,0.00,0,0.00,00:30:07,1,0,7,0,1
20201001,16,00:28:14,00:01:43,00:00:00,0.00%,0,1,21,1,1.50,6.67,20,0.00,0,0.00,01:24:42,3,0,17,0,2
20210113,22,00:28:08,00:05:38,00:00:00,0.00%,0,1,6,1,1.00,6.00,6,0.00,0,0.00,00:28:08,1,0,2,0,1
20201217,07,00:28:03,00:01:19,00:00:00,0.00%,0,1,38,2,1.00,17.00,34,0.00,0,0.00,00:56:06,2,0,14,0,2
20201214,19,00:27:51,00:13:56,00:00:00,0.00%,0,1,3,1,1.00,3.00,3,0.00,0,0.00,00:27:51,1,0,2,0,1
20201222,21,00:27:35,00:01:11,00:00:00,0.00%,0,1,28,2,1.00,13.00,26,0.00,0,0.00,00:55:10,2,0,16,0,2
20201204,10,00:27:00,00:06:39,00:00:00,0.00%,0,1,10,2,1.00,4.50,9,0.00,0,0.00,00:53:59,2,0,8,0,2
20210212,21,00:24:51,00:01:08,00:00:00,0.00%,0,1,36,0,1.00,23.00,23,0.00,0,0.00,00:24:51,1,0,20,0,1
20210304,12,00:24:02,00:09:33,00:00:00,0.00%,0,0,2,0,1.00,2.00,2,0.00,0,0.00,00:24:02,1,0,2,0,1
20210204,12,00:23:52,00:00:57,00:00:00,0.00%,0,1,34,0,1.00,26.00,26,0.00,0,0.00,00:23:52,1,0,14,0,1
20210207,05,00:23:10,00:11:36,00:00:00,0.00%,0,1,3,1,1.00,3.00,3,0.00,0,0.00,00:23:10,1,0,2,0,1
20210212,05,00:22:31,00:02:40,00:00:00,0.00%,0,0,6,1,1.00,5.00,5,0.00,0,0.00,00:22:31,1,0,5,0,1
20201224,10,00:22:09,00:01:35,00:00:00,50.00%,1,2,38,2,1.00,15.00,30,0.00,0,0.00,00:44:17,2,0,19,0,2
20201119,23,00:22:05,00:01:28,00:00:00,0.00%,0,1,18,1,1.00,16.00,16,0.00,0,0.00,00:22:05,1,0,7,0,1
20201218,11,00:21:50,00:21:50,00:00:00,0.00%,0,0,1,1,1.00,1.00,1,0.00,0,0.00,00:21:50,1,0,1,0,1
20201009,07,00:20:57,00:00:24,00:00:00,0.00%,0,1,4,1,0.50,3.00,3,0.00,0,0.00,00:20:57,1,0,3,0,2
20210127,19,00:20:52,00:05:58,00:00:00,0.00%,0,1,10,1,1.00,4.00,8,0.00,0,0.00,00:41:44,2,0,6,0,2
20210102,08,00:20:25,00:05:07,00:00:00,0.00%,0,1,6,1,1.00,5.00,5,0.00,0,0.00,00:20:25,1,0,5,0,1
