# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,,,,,,,,,,
# 20200101-20200930,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Hour,Avg. Session Duration,Avg. Time on Page,Avg. Time on Screen,Bounce Rate,Bounces,Exits,Hits,New Users,Number of Sessions per User,Pages / Session,Pageviews,Results Pageviews / Search,Screen Views,Screens / Session,Session Duration,Sessions,Total Unique Searches,Unique Pageviews,Unique Screen Views,Users
20200306,20,00:55:11,00:03:19,00:00:00,0.00%,0,0,10,1,1,9,9,0,0,0,00:55:11,1,0,8,0,1
20200329,13,00:36:52,00:01:33,00:00:00,0.00%,0,0,1,1,1,1,1,0,0,0,00:36:52,1,0,1,0,1
20200604,11,00:35:45,00:00:49,00:00:00,0.00%,0,0,9,1,1,8,8,0,0,0,00:35:45,1,0,6,0,1
20200113,4,00:31:33,00:26:42,00:00:00,0.00%,0,0,1,0,1,1,1,0,0,0,00:31:33,1,0,1,0,1
20200124,3,00:31:03,00:02:04,00:00:00,0.00%,0,1,16,1,1,16,16,0,0,0,00:31:03,1,0,13,0,1
20200818,19,00:30:14,00:15:07,00:00:00,0.00%,0,0,2,0,1,2,2,0,0,0,00:30:14,1,0,2,0,1
20200729,20,00:29:48,00:03:43,00:00:00,0.00%,0,1,9,1,1,4.5,9,0,0,0,00:59:35,2,0,8,0,2
20200422,13,00:29:47,00:03:44,00:00:00,0.00%,0,1,9,1,1,9,9,0,0,0,00:29:47,1,0,5,0,1
20200803,16,00:28:52,00:02:53,00:00:00,0.00%,0,0,12,1,1,10,10,0,0,0,00:28:52,1,0,6,0,1
20200806,11,00:27:18,00:08:51,00:00:00,0.00%,0,2,10,0,2,4.5,9,0,0,0,00:54:36,2,0,6,0,1
20200225,18,00:26:12,00:02:22,00:00:00,0.00%,0,0,5,1,1,5,5,0,0,0,00:26:12,1,0,5,0,1
20200514,10,00:26:03,00:13:02,00:00:00,0.00%,0,0,2,0,1,2,2,0,0,0,00:26:03,1,0,2,0,1
20200629,9,00:25:40,00:00:50,00:00:00,0.00%,0,2,65,2,1,31.5,63,0,0,0,00:51:19,2,0,23,0,2
20200607,6,00:24:44,00:23:42,00:00:00,0.00%,0,0,1,1,1,1,1,0,0,0,00:24:44,1,0,1,0,1
20200206,20,00:23:58,00:23:58,00:00:00,0.00%,0,1,2,1,0.5,2,2,0,0,0,00:23:58,1,0,1,0,2
20200623,20,00:23:17,00:07:46,00:00:00,0.00%,0,1,4,1,1,4,4,0,0,0,00:23:17,1,0,2,0,1
20200905,23,00:23:08,00:02:53,00:00:00,0.00%,0,1,9,1,1,9,9,0,0,0,00:23:08,1,0,5,0,1
20200103,18,00:22:29,00:22:29,00:00:00,0.00%,0,0,1,1,1,1,1,0,0,0,00:22:29,1,0,1,0,1
20200714,5,00:22:19,00:05:34,00:00:00,0.00%,0,0,5,1,1,4,4,0,0,0,00:22:19,1,0,4,0,1
20200920,6,00:21:34,00:03:36,00:00:00,0.00%,0,0,6,1,1,6,6,0,0,0,00:21:34,1,0,5,0,1
20200109,21,00:21:30,00:00:37,00:00:00,0.00%,0,1,45,0,1,36,36,0,0,0,00:21:30,1,0,23,0,1
20200307,15,00:21:23,00:03:31,00:00:00,0.00%,0,1,15,2,1,6.5,13,0,0,0,00:42:46,2,0,9,0,2
20200523,17,00:21:22,00:00:57,00:00:00,33.33%,1,2,42,2,1.5,12,36,0,0,0,01:04:05,3,0,13,0,2
20200530,23,00:21:11,00:21:11,00:00:00,0.00%,0,1,2,0,1,2,2,0,0,0,00:21:11,1,0,1,0,1
20200722,15,00:20:51,00:03:16,00:00:00,0.00%,0,1,9,2,1,3,6,0,0,0,00:41:42,2,0,4,0,2
20200412,19,00:20:06,00:10:03,00:00:00,0.00%,0,1,3,1,1,3,3,0,0,0,00:20:06,1,0,3,0,1
20200726,0,00:20:01,00:06:40,00:00:00,0.00%,0,1,4,0,1,4,4,0,0,0,00:20:01,1,0,3,0,1
20200226,16,00:19:56,00:03:19,00:00:00,0.00%,0,3,17,0,0.67,7.5,15,0,0,0,00:39:52,2,0,9,0,3
20200216,17,00:19:55,00:01:05,00:00:00,0.00%,0,0,11,1,1,10,10,0,0,0,00:19:55,1,0,7,0,1
20200901,21,00:19:33,00:04:53,00:00:00,0.00%,0,1,5,1,1,5,5,0,0,0,00:19:33,1,0,3,0,1
20200807,19,00:19:21,00:19:21,00:00:00,0.00%,0,1,2,0,1,2,2,0,0,0,00:19:21,1,0,1,0,1
20200902,19,00:19:09,00:02:57,00:00:00,0.00%,0,1,15,2,1,7,14,0,0,0,00:38:18,2,0,9,0,2
20200917,9,00:18:43,00:07:29,00:00:00,50.00%,1,2,7,2,1,3.5,7,0,0,0,00:37:26,2,0,5,0,2
20200828,9,00:18:36,00:01:29,00:00:00,0.00%,0,2,34,1,1,13.5,27,0,0,0,00:37:12,2,0,18,0,2
20200826,20,00:18:36,00:03:43,00:00:00,25.00%,1,3,24,3,1,5.75,23,0,0,0,01:14:22,4,0,11,0,4
20200701,18,00:18:19,00:18:19,00:00:00,0.00%,0,1,2,0,1,2,2,0,0,0,00:18:19,1,0,1,0,1
20200123,17,00:17:57,00:02:50,00:00:00,0.00%,0,1,20,3,1,6.33,19,0,0,0,00:53:52,3,0,15,0,3
20200727,11,00:17:47,00:02:29,00:00:00,0.00%,0,2,20,3,1,4.25,17,0,0,0,01:11:09,4,0,15,0,4
20200930,14,00:17:44,00:02:01,00:00:00,0.00%,0,1,19,1,1,8.5,17,0,0,0,00:35:28,2,0,14,0,2
20200203,8,00:17:40,00:00:39,00:00:00,0.00%,0,0,27,0,1,23,23,0,0,0,00:17:40,1,0,9,0,1
20200227,17,00:17:37,00:02:21,00:00:00,50.00%,1,1,7,2,1,3.5,7,0,0,0,00:35:13,2,0,4,0,2
20200226,17,00:17:21,00:00:59,00:00:00,0.00%,0,1,48,1,2,17.5,35,0,0,0,00:34:41,2,0,20,0,1
20200701,8,00:17:08,00:08:34,00:00:00,0.00%,0,0,2,1,1,2,2,0,0,0,00:17:08,1,0,2,0,1
20200823,13,00:17:08,00:01:33,00:00:00,33.33%,1,2,40,3,1,11.67,35,0,0,0,00:51:23,3,0,13,0,3
20200611,16,00:16:59,00:01:34,00:00:00,0.00%,0,2,18,1,0.5,17,17,0,0,0,00:16:59,1,0,6,0,2
20200602,17,00:16:47,00:05:34,00:00:00,0.00%,0,0,4,1,1,3,3,0,0,0,00:16:47,1,0,3,0,1
20200114,14,00:16:39,00:05:29,00:00:00,50.00%,1,1,7,1,1,3.5,7,0,0,0,00:33:18,2,0,5,0,2
20200110,13,00:16:38,00:07:51,00:00:00,0.00%,0,0,2,1,1,2,2,0,0,0,00:16:38,1,0,1,0,1
20200228,16,00:16:30,00:08:56,00:00:00,33.33%,1,2,4,2,1.5,1.33,4,0,0,0,00:49:31,3,0,4,0,2
20200721,7,00:16:18,00:02:48,00:00:00,0.00%,0,3,32,3,1.33,6.5,26,0,0,0,01:05:11,4,0,20,0,3
20200529,11,00:16:04,00:02:35,00:00:00,0.00%,0,1,14,2,1,6,12,0,0,0,00:32:07,2,0,11,0,2
20200910,21,00:16:00,00:01:27,00:00:00,0.00%,0,1,14,1,1,12,12,0,0,0,00:16:00,1,0,8,0,1
20200822,11,00:15:59,00:02:48,00:00:00,0.00%,0,2,18,3,1,5.67,17,0,0,0,00:47:58,3,0,10,0,3
20200217,16,00:15:56,00:02:02,00:00:00,0.00%,0,3,33,2,0.67,14.5,29,0,0,0,00:31:51,2,0,13,0,3
20200203,19,00:15:53,00:02:16,00:00:00,0.00%,0,2,18,1,1,8,16,0,0,0,00:31:45,2,0,9,0,2
20200405,17,00:15:52,00:15:52,00:00:00,0.00%,0,1,2,1,1,2,2,0,0,0,00:15:52,1,0,1,0,1
20200128,15,00:15:41,00:02:12,00:00:00,0.00%,0,2,26,2,1.5,7,21,0,0,0,00:47:03,3,0,19,0,2
20200102,21,00:15:41,00:02:37,00:00:00,0.00%,0,2,15,1,1,7,14,0,0,0,00:31:21,2,0,8,0,2
20200202,13,00:15:41,00:03:55,00:00:00,0.00%,0,2,10,2,1,5,10,0,0,0,00:31:21,2,0,6,0,2
20200528,8,00:15:31,00:03:06,00:00:00,0.00%,0,2,15,1,1,6,12,0,0,0,00:31:01,2,0,8,0,2
20200507,13,00:15:29,00:02:35,00:00:00,0.00%,0,1,7,0,1,7,7,0,0,0,00:15:29,1,0,5,0,1
20200525,11,00:15:15,00:02:17,00:00:00,0.00%,0,1,15,1,1,7,14,0,0,0,00:30:29,2,0,7,0,2
20200422,10,00:15:01,00:05:01,00:00:00,0.00%,0,1,4,1,1,4,4,0,0,0,00:15:01,1,0,3,0,1
20200209,10,00:14:57,00:01:25,00:00:00,0.00%,0,1,13,2,1,5,10,0,0,0,00:29:54,2,0,10,0,2
20200104,17,00:14:55,00:05:58,00:00:00,50.00%,1,2,7,2,1,3.5,7,0,0,0,00:29:49,2,0,7,0,2
