City,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
(not set),20200101,15,12,15,46.67%,2.93,0:02:31,1
Los Angeles,20200101,9,7,11,54.55%,3.82,0:03:03,3
Heber City,20200101,6,5,7,57.14%,2,0:00:23,0
Salt Lake City,20200101,5,5,6,33.33%,3.33,0:01:24,0
Austin,20200101,3,3,3,66.67%,1.33,0:00:52,0
Atlanta,20200101,2,2,2,50.00%,1.5,0:00:06,0
South Jordan,20200101,2,2,4,25.00%,6.5,0:01:53,0
Bluffdale,20200101,2,2,2,50.00%,1.5,0:00:04,0
Snyderville,20200101,2,1,3,0.00%,2.67,0:00:59,0
Canton,20200101,1,0,1,100.00%,1,0:00:00,0
Smyrna,20200101,1,1,1,0.00%,3,0:00:34,0
Woodstock,20200101,1,0,2,0.00%,5.5,0:01:16,0
Boise,20200101,1,1,2,50.00%,2,0:03:56,0
Niles,20200101,1,0,2,0.00%,4,0:00:48,0
Summit,20200101,1,1,1,0.00%,2,0:00:18,0
Las Vegas,20200101,1,1,1,0.00%,3,0:01:20,0
Doylestown,20200101,1,1,1,100.00%,1,0:00:00,0
Dallas,20200101,1,1,1,0.00%,2,0:00:08,0
San Antonio,20200101,1,0,1,100.00%,1,0:00:00,0
Sugar Land,20200101,1,0,1,100.00%,1,0:00:00,0
Bountiful,20200101,1,1,1,100.00%,1,0:00:00,0
Park City,20200101,1,1,1,0.00%,3,0:02:38,0
Provo,20200101,1,1,1,0.00%,6,0:00:24,0
Roosevelt,20200101,1,0,1,0.00%,8,0:10:36,1
Sandy,20200101,1,1,1,100.00%,1,0:00:00,0
Port Washington,20200101,1,1,1,100.00%,1,0:00:00,0
Bee Cave,20200101,1,1,1,0.00%,3,0:02:43,0
West Valley City,20200101,1,0,1,100.00%,1,0:00:00,0
Salt Lake City,20200102,11,9,12,41.67%,3.17,0:01:03,1
(not set),20200102,9,8,9,55.56%,2.11,0:00:18,0
Heber City,20200102,5,5,6,0.00%,2.83,0:04:11,0
Fort Worth,20200102,4,2,4,25.00%,4.25,0:11:09,2
Los Angeles,20200102,3,2,3,66.67%,2,0:00:51,0
Wilmington,20200102,2,2,4,25.00%,5.25,0:02:38,1
Frisco,20200102,2,2,2,50.00%,2,0:00:10,0
Midway,20200102,2,1,2,0.00%,2,0:00:35,0
Park City,20200102,2,2,2,50.00%,1.5,0:03:56,0
Holladay,20200102,2,2,2,50.00%,2,0:00:09,0
Picnic Point-North Lynnwood,20200102,2,1,2,0.00%,7,0:15:37,0
Dubai,20200102,1,1,1,0.00%,8,0:02:40,0
Kuala Lumpur,20200102,1,1,1,100.00%,1,0:00:00,0
Sonoma,20200102,1,1,1,0.00%,22,0:22:49,0
Canton,20200102,1,1,1,0.00%,8,0:08:49,1
Davenport,20200102,1,1,1,0.00%,3,0:06:42,0
Brookfield,20200102,1,1,1,0.00%,8,0:32:22,0
Chicago,20200102,1,1,2,50.00%,8.5,0:02:01,0
Vincennes,20200102,1,1,1,0.00%,5,0:00:30,0
