Browser,Device Category,Date,Sessions,Avg. Session Duration,Bounce Rate,Users,Pages / Session,Transactions
Safari,mobile,20200101,35,0:01:27,45.71%,25,3,2
Chrome,desktop,20200101,18,0:01:13,50.00%,17,3.17,2
Chrome,mobile,20200101,9,0:04:39,44.44%,6,2.89,0
Safari (in-app),mobile,20200101,5,0:00:05,20.00%,5,1.8,0
Safari,desktop,20200101,2,0:00:25,50.00%,2,3,0
Samsung Internet,mobile,20200101,2,0:00:00,100.00%,1,1,0
Android Webview,mobile,20200101,1,0:00:34,0.00%,1,3,0
Edge,desktop,20200101,1,0:07:45,0.00%,1,13,1
Firefox,mobile,20200101,1,0:02:35,0.00%,1,2,0
Safari,tablet,20200101,1,0:00:07,0.00%,1,2,0
Safari,mobile,20200102,30,0:02:40,36.67%,27,3.57,0
Chrome,desktop,20200102,17,0:04:09,29.41%,17,5.71,1
Chrome,mobile,20200102,5,0:01:35,40.00%,5,3.4,1
Safari,desktop,20200102,4,0:00:36,25.00%,4,2.25,0
Internet Explorer,desktop,20200102,3,0:03:31,0.00%,1,6.67,1
Safari (in-app),mobile,20200102,3,0:10:27,33.33%,3,5,0
Internet Explorer,tablet,20200102,2,0:22:10,0.00%,2,7,2
Safari,tablet,20200102,2,0:00:35,0.00%,2,2,0
Edge,desktop,20200102,1,0:00:00,100.00%,1,1,0
Firefox,desktop,20200102,1,0:00:00,100.00%,1,1,0
Safari,mobile,20200103,29,0:01:48,31.03%,19,2.62,0
Chrome,desktop,20200103,8,0:04:10,0.00%,8,3.62,0
Edge,desktop,20200103,3,0:06:16,0.00%,2,4.33,0
Safari,desktop,20200103,3,0:03:18,0.00%,2,6.67,1
Chrome,mobile,20200103,2,0:00:12,50.00%,2,1.5,0
Firefox,desktop,20200103,2,0:17:58,50.00%,2,20.5,1
Internet Explorer,desktop,20200103,2,0:02:21,0.00%,2,24,0
Opera,desktop,20200103,2,0:04:59,0.00%,2,3,0
Safari,tablet,20200103,2,0:00:51,0.00%,1,8.5,0
Safari,mobile,20200104,24,0:05:55,16.67%,17,4.67,0
Internet Explorer,desktop,20200104,22,0:00:24,90.91%,21,1.32,0
Chrome,mobile,20200104,7,0:00:43,57.14%,6,2.57,0
Chrome,desktop,20200104,6,0:07:17,16.67%,6,6.17,2
Safari,desktop,20200104,3,0:00:29,0.00%,3,2.33,0
Chrome,tablet,20200104,1,0:00:00,100.00%,1,1,0
Safari (in-app),mobile,20200104,1,0:04:25,0.00%,1,6,0
Samsung Internet,mobile,20200104,1,0:00:00,100.00%,1,1,0
Safari,mobile,20200105,28,0:03:57,28.57%,22,4.21,0
Chrome,desktop,20200105,9,0:01:13,44.44%,9,2.89,0
Chrome,mobile,20200105,6,0:00:20,50.00%,5,2.83,0
Safari,desktop,20200105,6,0:01:35,0.00%,6,6,0
Safari,tablet,20200105,6,0:02:56,33.33%,5,4.5,1
Android Webview,mobile,20200105,1,0:01:20,0.00%,1,5,0
Edge,desktop,20200105,1,0:00:00,100.00%,1,1,0
Firefox,mobile,20200105,1,0:00:00,100.00%,1,1,0
Safari (in-app),mobile,20200105,1,0:00:52,0.00%,1,3,0
Samsung Internet,mobile,20200105,1,0:00:00,100.00%,1,1,0
Chrome,desktop,20200106,32,0:01:48,46.88%,29,2.97,2
Safari,mobile,20200106,13,0:02:35,23.08%,10,4.31,2
Edge,desktop,20200106,10,0:01:40,40.00%,10,2,0
Chrome,mobile,20200106,5,0:00:32,20.00%,5,2.4,0
Firefox,desktop,20200106,5,0:00:00,100.00%,5,1,0
Safari,desktop,20200106,3,0:00:02,66.67%,3,1.33,0
Internet Explorer,tablet,20200106,2,0:05:42,50.00%,1,4.5,1
Safari,tablet,20200106,1,0:00:00,100.00%,1,1,0
Samsung Internet,mobile,20200106,1,0:00:00,100.00%,1,1,0
Chrome,desktop,20200107,18,0:03:24,27.78%,16,4.28,1
Safari,mobile,20200107,17,0:03:33,11.76%,13,4.53,0
Chrome,mobile,20200107,5,0:00:42,40.00%,5,2.8,0
Internet Explorer,desktop,20200107,4,0:00:00,100.00%,4,1,0
Edge,desktop,20200107,2,0:13:19,0.00%,2,20,2
Safari,desktop,20200107,2,0:00:13,50.00%,2,1.5,0
UC Browser,mobile,20200107,2,0:00:00,100.00%,2,1,0
Safari,tablet,20200107,1,0:00:00,100.00%,1,1,0
Safari (in-app),mobile,20200107,1,0:04:48,0.00%,1,19,0
Samsung Internet,mobile,20200107,1,0:29:44,0.00%,1,3,0
Safari,mobile,20200108,20,0:01:05,25.00%,16,3.45,1
Chrome,desktop,20200108,19,0:02:18,26.32%,19,4,2
Chrome,mobile,20200108,6,0:04:07,0.00%,5,3.83,0
Internet Explorer,desktop,20200108,4,0:00:41,0.00%,3,2.5,0
Safari,desktop,20200108,4,0:21:03,25.00%,4,7.75,2
Firefox,desktop,20200108,3,0:04:38,0.00%,1,4.33,1
Mozilla Compatible Agent,desktop,20200108,3,0:00:11,66.67%,3,6.67,0
Safari (in-app),mobile,20200108,3,0:00:09,33.33%,3,1.67,0
Samsung Internet,mobile,20200108,1,0:13:19,0.00%,1,6,0
Chrome,desktop,20200109,7,0:04:42,28.57%,7,9.14,4
Safari,mobile,20200109,6,0:00:58,16.67%,6,2.67,0
Chrome,mobile,20200109,4,0:01:59,50.00%,4,5.75,0
Safari,desktop,20200109,3,0:07:40,0.00%,3,7.33,1
Internet Explorer,desktop,20200109,1,0:26:25,0.00%,1,20,1
Safari (in-app),mobile,20200109,1,0:00:09,0.00%,1,2,0
Safari,mobile,20200110,12,0:00:29,66.67%,9,1.58,0
Chrome,desktop,20200110,10,0:02:48,20.00%,10,3.8,0
Chrome,mobile,20200110,9,0:01:49,44.44%,8,4,0
Safari (in-app),mobile,20200110,3,0:00:42,66.67%,3,2.67,0
Chrome,tablet,20200110,2,0:00:35,0.00%,1,2.5,0
Safari,desktop,20200110,2,0:07:22,0.00%,2,4.5,0
Amazon Silk,tablet,20200110,1,0:00:40,0.00%,1,2,0
Android Webview,mobile,20200110,1,0:02:33,0.00%,1,3,0
Safari,tablet,20200110,1,0:00:00,100.00%,1,1,0
Safari,mobile,20200111,11,0:03:29,27.27%,10,3.09,0
Chrome,desktop,20200111,8,0:01:27,62.50%,8,3.88,0
Safari,desktop,20200111,5,0:03:59,60.00%,5,2.8,1
Chrome,mobile,20200111,3,0:00:08,66.67%,3,1.33,0
Amazon Silk,tablet,20200111,2,0:00:57,50.00%,1,2.5,0
Safari (in-app),mobile,20200111,2,0:03:12,50.00%,2,2,0
Edge,desktop,20200111,1,0:02:21,0.00%,1,6,0
Firefox,mobile,20200111,1,0:00:00,100.00%,1,1,0
Mozilla Compatible Agent,desktop,20200111,1,0:00:00,100.00%,1,1,0
Safari,mobile,20200112,11,0:02:23,27.27%,11,2.64,0
Safari,desktop,20200112,8,0:07:11,25.00%,5,4.5,2
Chrome,desktop,20200112,7,0:05:42,28.57%,7,8.43,3
Chrome,mobile,20200112,3,0:00:07,66.67%,3,1.67,0
Firefox,desktop,20200112,2,0:01:05,50.00%,2,2.5,0
Safari,tablet,20200112,1,0:00:50,0.00%,1,4,0
Chrome,desktop,20200113,14,0:03:40,35.71%,14,4.14,2
Safari,mobile,20200113,14,0:04:07,42.86%,6,2.14,0
Safari,desktop,20200113,10,0:03:22,10.00%,9,7.2,0
Chrome,mobile,20200113,3,0:02:34,33.33%,3,1.67,0
Internet Explorer,desktop,20200113,3,0:06:07,33.33%,3,2.33,0
Chrome,desktop,20200114,22,0:04:07,31.82%,22,4.32,2
Safari,mobile,20200114,12,0:00:37,25.00%,9,2.33,0
Chrome,mobile,20200114,7,0:01:58,57.14%,5,3.14,1
Edge,desktop,20200114,5,0:01:36,40.00%,5,2.6,0
Safari,desktop,20200114,5,0:01:08,60.00%,5,3,1
Firefox,desktop,20200114,2,0:00:38,0.00%,2,3.5,0
Internet Explorer,desktop,20200114,2,0:00:25,0.00%,2,2,0
Android Webview,mobile,20200114,1,0:00:09,0.00%,1,2,0
Chrome,desktop,20200115,20,0:02:21,35.00%,20,3.4,0
Safari,mobile,20200115,11,0:01:59,27.27%,9,3.55,0
Chrome,mobile,20200115,6,0:01:04,33.33%,5,4.83,0
Internet Explorer,desktop,20200115,3,0:00:43,33.33%,3,3.67,0
Edge,desktop,20200115,1,0:00:44,0.00%,1,3,0
Safari,desktop,20200115,1,0:00:00,100.00%,1,1,0
Safari,tablet,20200115,1,0:00:00,100.00%,1,1,0
