Date,Hour,Avg. Session Duration,Avg. Time on Page,Avg. Time on Screen,Bounce Rate,Bounces,Exits,Hits,New Users,Number of Sessions per User,Pages / Session,Pageviews,Results Pageviews / Search,Screen Views,Screens / Session,Session Duration,Sessions,Total Unique Searches,Unique Pageviews,Unique Screen Views,Users
20200101,16,0:07:37,0:05:05,0:00:00,25.00%,1,4,11,3,1,2.5,10,0,0,0,0:30:26,4,0,10,0,4
20200101,21,0:05:18,0:01:31,0:00:00,50.00%,1,2,12,1,1,4.5,9,0,0,0,0:10:36,2,0,9,0,2
20200101,17,0:04:11,0:01:15,0:00:00,33.33%,1,3,16,2,1.5,4.33,13,0,0,0,0:12:32,3,0,11,0,2
20200101,19,0:03:56,0:01:00,0:00:00,50.00%,3,7,42,4,1.2,5.5,33,0,0,0,0:23:33,6,0,24,0,5
20200101,14,0:01:40,0:00:29,0:00:00,50.00%,1,2,12,1,1,4.5,9,0,0,0,0:03:20,2,0,9,0,2
20200101,15,0:01:36,0:02:39,0:00:00,60.00%,3,5,8,4,1.25,1.6,8,0,0,0,0:07:58,5,0,8,0,4
20200101,20,0:01:22,0:01:22,0:00:00,50.00%,1,2,4,2,1,2,4,0,0,0,0:02:43,2,0,3,0,2
20200101,8,0:01:11,0:00:25,0:00:00,33.33%,2,6,24,5,1.2,3.83,23,0,0,0,0:07:08,6,0,19,0,5
20200101,12,0:01:08,0:00:45,0:00:00,50.00%,1,2,6,0,1,2.5,5,0,0,0,0:02:16,2,0,4,0,2
20200101,18,0:00:53,0:00:27,0:00:00,40.00%,4,9,24,6,1.11,2.3,23,0,0,0,0:08:53,10,0,23,0,9
20200101,10,0:00:40,0:00:16,0:00:00,42.86%,3,8,29,5,0.88,3.71,26,0,0,0,0:04:40,7,0,20,0,8
20200101,13,0:00:38,0:00:29,0:00:00,33.33%,1,3,7,2,1,2.33,7,0,0,0,0:01:54,3,0,5,0,3
20200101,11,0:00:37,0:00:25,0:00:00,33.33%,2,6,21,5,1,2.5,15,0,0,0,0:03:44,6,0,14,0,6
20200101,7,0:00:35,0:00:14,0:00:00,28.57%,2,7,26,5,1,3.43,24,0,0,0,0:04:02,7,0,23,0,7
20200101,9,0:00:23,0:00:23,0:00:00,57.14%,4,6,14,3,1,1.86,13,0,0,0,0:02:42,7,0,12,0,7
20200101,1,0:00:00,0:00:00,0:00:00,100.00%,1,1,1,1,1,1,1,0,0,0,0:00:00,1,0,1,0,1
