,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,General,,,,,,,,,,Winter,,,
,Page Information,Total Page Count,Average Time spent on Page,Average Seconds on Page,,Summer,,,,,Page Information,Total Page Count,Average Time spent on Page,Column1
,main page,6188,0:01:10,70,,Page Information,Total Page Count,Average Time spent on Page,Average Seconds on Page,,winter,3628,0:01:40,100
,contact-us,644,0:00:59,59,,summer,3234,0:01:33,93,,zermatt-resort,375,0:01:11,71
,local-information,146,0:00:56,56,,side-by-side-rentals-heber,725,0:00:48,48,,lodge-at-stillwater,376,0:00:59,59
,directions,195,0:00:55,55,,summer-activities,208,0:00:43,43,,reservations,135,0:00:56,56
,side-by-side-rentals-heber,725,0:00:48,48,,activities,1099,0:00:19,19,,parkcityskirentals,291,0:00:55,55
,faq,359,0:00:37,37,,,,,,,winter-activities,397,0:00:43,43
,policies-and-information,174,0:00:29,29,,,,,,,retail-store,336,0:00:35,35
,privacy-policy,61,0:00:08,8,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,93,,,,,,
,,,,,,,,,,,,,,
