Date,Hour of Day,Screen Name,% Sessions with Search,Avg. % Conversion Probability,Avg. Search Depth,Avg. Value,Entrances,Entrances / Pageviews,Event Value,Events / Session with Event,Results Pageviews,Search Depth,Search Exits,Search Refinements,Sessions with Event,Sessions with Search,Time after Search,Time on Page,Time on Screen,Total Events,Unique Dimension Combinations,Unique Events
20201001,2020100104,www.adventurehaus.com/side-by-side-rentals-heber/,0.00%,0,0,0,3,100.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,3,0
20201001,2020100105,fareharbor.com/embeds/book/adventurehaus/items/?flow=67824,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:14,0:00:00,0,1,0
20201001,2020100105,fareharbor.com/embeds/book/adventurehaus/items/?flow=67868,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:21,0:00:00,0,1,0
20201001,2020100105,fareharbor.com/embeds/book/adventurehaus/items/31832/availability/445018398/book/?flow=67868,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:19:08,0:00:00,0,1,0
20201001,2020100105,fareharbor.com/embeds/book/adventurehaus/items/31832/calendar/2020/10/?flow=67868,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:01:12,0:00:00,0,1,0
20201001,2020100105,"fareharbor.com/embeds/calendar/adventurehaus/items/31832,31838,31844/2020/10/",0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100105,www.adventurehaus.com/,0.00%,0,0,0,1,100.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:25,0:00:00,0,1,0
20201001,2020100105,www.adventurehaus.com/activities/full-day-razor-rental/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:04,0:00:00,0,1,0
20201001,2020100105,www.adventurehaus.com/side-by-side-rentals-heber/,0.00%,0,0,0,1,100.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:11,0:00:00,0,1,0
20201001,2020100105,www.adventurehaus.com/summer/activity-reservations/,0.00%,0,0,0,0,0.00%,0,1,0,0,0,0,1,0,0:00:00,0:01:42,0:00:00,1,1,1
20201001,2020100106,fareharbor.com/embeds/book/adventurehaus/items/?flow=67824,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:06,0:00:00,0,1,0
20201001,2020100106,fareharbor.com/embeds/book/adventurehaus/items/?flow=67868,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:04,0:00:00,0,1,0
20201001,2020100106,fareharbor.com/embeds/book/adventurehaus/items/31838/availability/445020452/book/?flow=67868,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100106,fareharbor.com/embeds/book/adventurehaus/items/31838/calendar/2020/10/?flow=67868,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:08,0:00:00,0,1,0
20201001,2020100106,www.adventurehaus.com/summer/activity-reservations/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,1,1,0
20201001,2020100107,fareharbor.com/embeds/book/adventurehaus/items/?flow=122650&full-items=yes,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:36,0:00:00,0,1,0
20201001,2020100107,fareharbor.com/embeds/book/adventurehaus/items/31838/availability/445020463/book/?full-items=yes&flow=122650,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:06,0:00:00,0,1,0
20201001,2020100107,fareharbor.com/embeds/book/adventurehaus/items/31838/calendar/2020/10/?full-items=yes&flow=122650,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:03:57,0:00:00,0,1,0
20201001,2020100107,"fareharbor.com/embeds/calendar/adventurehaus/items/31832,31838,31844/2020/10/",0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:04,0:00:00,0,1,0
20201001,2020100107,www.adventurehaus.com/,0.00%,0,0,0,2,66.67%,0,1,0,0,0,0,1,0,0:00:00,0:00:35,0:00:00,1,2,1
20201001,2020100107,www.adventurehaus.com/activities/full-day-razor-rental/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:08,0:00:00,0,1,0
20201001,2020100107,www.adventurehaus.com/summer/activity-reservations/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100108,"fareharbor.com/embeds/calendar/adventurehaus/items/31832,31838,31844/2020/10/",0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100108,www.adventurehaus.com/,0.00%,0,0,0,1,50.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:03,0:00:00,0,1,0
20201001,2020100108,www.adventurehaus.com/activities/full-day-razor-rental/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:03,0:00:00,0,1,0
20201001,2020100108,www.adventurehaus.com/summer/activity-reservations/,0.00%,0,0,0,1,50.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:43,0:00:00,0,2,0
20201001,2020100109,fareharbor.com/embeds/book/adventurehaus/cart/?u=ID&flow=122650&full-items=yes,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:09,0:00:00,0,1,0
20201001,2020100109,fareharbor.com/embeds/book/adventurehaus/items/?flow=122650&full-items=yes,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:09,0:00:00,0,1,0
20201001,2020100109,fareharbor.com/embeds/book/adventurehaus/items/?flow=27090&full-items=yes,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100109,fareharbor.com/embeds/book/adventurehaus/items/?flow=67824,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:02,0:00:00,0,1,0
20201001,2020100109,fareharbor.com/embeds/book/adventurehaus/items/?flow=67868,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:04,0:00:00,0,1,0
20201001,2020100109,fareharbor.com/embeds/book/adventurehaus/items/31832/availability/445018442/book/?flow=67868,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:41,0:00:00,0,1,0
20201001,2020100109,fareharbor.com/embeds/book/adventurehaus/items/31832/calendar/2020/10/?flow=67868,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:05,0:00:00,0,1,0
20201001,2020100109,fareharbor.com/embeds/book/adventurehaus/items/31838/availability/445020449/book/?full-items=yes&flow=122650,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:01:13,0:00:00,0,1,0
20201001,2020100109,fareharbor.com/embeds/book/adventurehaus/items/31838/availability/445020450/book/?full-items=yes&flow=122650,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100109,fareharbor.com/embeds/book/adventurehaus/items/31838/calendar/2020/10/?full-items=yes&flow=122650,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:36,0:00:00,0,1,0
20201001,2020100109,www.adventurehaus.com/,0.00%,0,0,0,4,66.67%,0,2,0,0,0,0,1,0,0:00:00,0:00:24,0:00:00,2,4,1
20201001,2020100109,www.adventurehaus.com/summer/activity-reservations/,0.00%,0,0,0,1,33.33%,0,2,0,0,0,0,1,0,0:00:00,0:00:39,0:00:00,2,3,2
20201001,2020100109,www.adventurehaus.com/summer/gear-rentals/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100110,www.adventurehaus.com/,0.00%,0,0,0,1,100.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100111,www.adventurehaus.com/,0.00%,0,0,0,1,100.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:26,0:00:00,0,1,0
20201001,2020100111,www.adventurehaus.com/winter/gear-rentals/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100112,"fareharbor.com/embeds/book/adventurehaus/items/31844/availability/445020908/book/?selected-items=31832,31838,31844",0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100112,"fareharbor.com/embeds/calendar/adventurehaus/items/31832,31838,31844/2020/10/",0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100112,www.adventurehaus.com/,0.00%,0,0,0,3,100.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:29,0:00:00,0,3,0
20201001,2020100112,www.adventurehaus.com/activities/full-day-razor-rental/,0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:50,0:00:00,0,2,0
20201001,2020100112,www.adventurehaus.com/contact-us/,0.00%,0,0,0,1,100.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100112,www.adventurehaus.com/summer/activity-reservations/,0.00%,0,0,0,1,100.00%,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0:00:00,0,1,0
20201001,2020100114,"fareharbor.com/embeds/calendar/adventurehaus/items/31832,31838,31844/2020/10/",0.00%,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0:00:00,0:01:39,0:00:00,0,1,0
