# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,,,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,,,,,,,,,,,,,,
# 20200901-20210328,,,,,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour of Day,Avg. Order Value,Avg. Price,Avg. QTY,Buy-to-Detail Rate,Cart-to-Detail Rate,Ecommerce Conversion Rate,Per Session Value,Product Adds To Cart,Product Checkouts,Product Detail Views,Product List Clicks,Product List CTR,Product List Views,Product Refunds,Product Removes From Cart,Quantity,Quantity Added To Cart,Quantity Checked Out,Quantity Refunded,Quantity Removed From Cart,Revenue,Transactions,Transactions per User,Unique Purchases
20210118,2021011820,"$1,926.77",$432.00,4,0.00%,0.00%,50.00%,$963.38,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,"$1,926.77",1,0.33,1
20210310,2021031007,"$1,710.32",$403.00,4,0.00%,0.00%,16.67%,$285.05,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,"$1,710.32",1,0.14,1
20210308,2021030809,"$1,380.72",$437.00,3,0.00%,0.00%,7.69%,$106.21,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,"$1,380.72",1,0.08,1
20210226,2021022617,"$1,113.85",$211.00,5,0.00%,0.00%,100.00%,"$1,113.85",0,0,0,0,0.00%,0,0,0,5,0,0,0,0,"$1,113.85",1,1,1
20201230,2020123006,"$1,049.32",$172.00,5,0.00%,0.00%,33.33%,$349.77,0,0,0,0,0.00%,0,0,0,5,0,0,0,0,"$1,049.32",1,0.33,1
20210304,2021030411,$983.00,$233.00,4,0.00%,0.00%,16.67%,$163.83,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$983.00,1,0.17,1
20210226,2021022620,$902.88,$256.60,2.5,0.00%,0.00%,66.67%,$601.92,0,0,0,0,0.00%,0,0,0,5,0,0,0,0,"$1,805.75",2,0.67,2
20210307,2021030717,$879.92,$178.00,4,0.00%,0.00%,33.33%,$293.31,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$879.92,1,0.25,1
20210323,2021032314,$839.44,$199.00,4,0.00%,0.00%,50.00%,$419.72,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$839.44,1,0.5,1
20210213,2021021312,$831.20,$197.00,4,0.00%,0.00%,11.11%,$92.36,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$831.20,1,0.14,1
20210215,2021021514,$727.85,$686.00,1,0.00%,0.00%,10.00%,$72.78,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$727.85,1,0.1,1
20210207,2021020706,$701.00,$133.00,5,0.00%,0.00%,25.00%,$175.25,0,0,0,0,0.00%,0,0,0,5,0,0,0,0,$701.00,1,0.25,1
20210316,2021031617,$697.33,$181.00,3,0.00%,0.00%,25.00%,$174.33,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$697.33,1,0.25,1
20210214,2021021409,$664.12,$157.62,1.62,0.00%,0.00%,26.67%,$177.10,0,0,0,0,0.00%,0,0,0,13,0,0,0,0,"$2,656.50",4,0.31,8
20210203,2021020309,$656.84,$136.00,4,0.00%,0.00%,9.09%,$59.71,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$656.84,1,0.09,1
20210307,2021030706,$643.92,$178.00,3,0.00%,0.00%,11.11%,$71.55,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$643.92,1,0.11,1
20210314,2021031411,$638.65,$161.00,3,0.00%,0.00%,16.67%,$106.44,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$638.65,1,0.2,1
20210118,2021011816,$627.06,$155.25,2,0.00%,0.00%,20.00%,$125.41,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$627.06,1,0.17,2
20210214,2021021419,$607.20,$118.00,4,0.00%,0.00%,25.00%,$151.80,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$607.20,1,0.25,1
20210323,2021032312,$599.48,$208.00,2.5,0.00%,0.00%,100.00%,$599.48,0,0,0,0,0.00%,0,0,0,5,0,0,0,0,"$1,198.95",2,1,2
20210210,2021021021,$598.41,$129.00,4,0.00%,0.00%,100.00%,$598.41,0,0,0,0,0.00%,0,0,0,12,0,0,0,0,"$1,795.23",3,1.5,3
20210125,2021012512,$578.36,$237.00,2,0.00%,0.00%,8.33%,$48.20,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$578.36,1,0.08,1
20210117,2021011706,$560.90,$136.00,3,0.00%,0.00%,7.69%,$43.15,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$560.90,1,0.08,1
20210205,2021020519,$560.22,$176.00,3,0.00%,0.00%,12.50%,$70.03,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$560.22,1,0.2,1
20210102,2021010208,$538.36,$215.00,2,0.00%,0.00%,14.29%,$76.91,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$538.36,1,0.12,1
20210226,2021022609,$537.69,$148.00,3,0.00%,0.00%,12.50%,$67.21,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$537.69,1,0.17,1
20210327,2021032712,$536.46,$161.00,3,0.00%,0.00%,25.00%,$134.12,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$536.46,1,0.2,1
20210310,2021031018,$528.39,$166.00,3,0.00%,0.00%,9.09%,$48.04,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$528.39,1,0.1,1
20210218,2021021806,$527.86,$199.00,2.5,0.00%,0.00%,15.38%,$81.21,0,0,0,0,0.00%,0,0,0,5,0,0,0,0,"$1,055.72",2,0.14,2
20210305,2021030516,$518.72,$227.00,1.33,0.00%,0.00%,40.00%,$207.49,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,"$1,037.43",2,0.4,3
20210126,2021012621,$500.80,$118.00,4,0.00%,0.00%,25.00%,$125.20,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$500.80,1,0.25,1
20210317,2021031713,$499.12,$216.00,2,0.00%,0.00%,33.33%,$166.37,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$499.12,1,0.33,1
20210305,2021030507,$487.74,$211.00,2,0.00%,0.00%,11.11%,$54.19,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$487.74,1,0.11,1
20210215,2021021509,$486.48,$183.40,2.5,0.00%,0.00%,15.38%,$74.84,0,0,0,0,0.00%,0,0,0,5,0,0,0,0,$972.95,2,0.14,2
20210207,2021020711,$484.99,$170.00,2.67,0.00%,0.00%,33.33%,$161.66,0,0,0,0,0.00%,0,0,0,8,0,0,0,0,"$1,454.98",3,0.33,3
20210325,2021032508,$472.15,$156.33,1.5,0.00%,0.00%,33.33%,$157.38,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$472.15,1,0.5,2
20210312,2021031210,$469.91,$202.00,2,0.00%,0.00%,33.33%,$156.64,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$469.91,1,0.33,1
20210324,2021032413,$467.44,$193.00,2,0.00%,0.00%,50.00%,$233.72,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$467.44,1,0.5,1
20210218,2021021818,$463.76,$437.50,1,0.00%,0.00%,80.00%,$371.01,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,"$1,855.05",4,0.67,4
20210311,2021031119,$462.61,$141.62,2.67,0.00%,0.00%,50.00%,$231.30,0,0,0,0,0.00%,0,0,0,8,0,0,0,0,"$1,387.83",3,0.75,3
20210224,2021022408,$447.08,$178.00,2,0.00%,0.00%,9.09%,$40.64,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$447.08,1,0.1,1
20210227,2021022710,$426.28,$176.00,2,0.00%,0.00%,14.29%,$60.90,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$426.28,1,0.14,1
20210306,2021030614,$421.22,$206.00,2,0.00%,0.00%,28.57%,$120.35,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$842.45,2,0.33,2
20210212,2021021207,$420.00,$111.67,1.5,0.00%,0.00%,20.00%,$84.00,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$420.00,1,0.2,2
20210301,2021030116,$411.68,$97.00,4,0.00%,0.00%,20.00%,$82.34,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$411.68,1,0.25,1
20210309,2021030906,$410.61,$129.00,3,0.00%,0.00%,12.50%,$51.33,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$410.61,1,0.11,1
20210102,2021010213,$404.24,$195.00,2,0.00%,0.00%,22.22%,$89.83,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$808.48,2,0.22,2
20210307,2021030714,$399.86,$166.00,2,0.00%,0.00%,12.50%,$49.98,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$399.86,1,0.12,1
20210203,2021020307,$397.16,$189.00,2,0.00%,0.00%,7.69%,$30.55,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$397.16,1,0.08,1
20210104,2021010410,$390.46,$160.00,2,0.00%,0.00%,25.00%,$97.61,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$780.91,2,0.22,2
20210213,2021021315,$387.02,$161.00,2,0.00%,0.00%,16.67%,$64.50,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$387.02,1,0.14,1
20210310,2021031016,$382.62,$142.60,2.5,0.00%,0.00%,20.00%,$76.52,0,0,0,0,0.00%,0,0,0,5,0,0,0,0,$765.23,2,0.25,2
20201230,2020123015,$376.87,$153.75,2,0.00%,0.00%,18.18%,$68.52,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$753.74,2,0.17,2
20210106,2021010614,$363.60,$198.67,1.5,0.00%,0.00%,200.00%,$727.21,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$727.21,2,1,2
20210202,2021020214,$350.27,$291.00,1,0.00%,0.00%,11.11%,$38.92,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$350.27,1,0.12,1
20210204,2021020413,$347.65,$247.25,1.33,0.00%,0.00%,27.27%,$94.81,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,"$1,042.94",3,0.23,3
20210322,2021032211,$346.30,$328.00,1,0.00%,0.00%,16.67%,$57.72,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$346.30,1,0.14,1
20210123,2021012318,$344.83,$59.00,5,0.00%,0.00%,25.00%,$86.21,0,0,0,0,0.00%,0,0,0,5,0,0,0,0,$344.83,1,0.25,1
20210314,2021031409,$341.96,$209.33,1.5,0.00%,0.00%,33.33%,$113.99,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$683.92,2,0.33,2
20210304,2021030417,$335.25,$127.40,2.5,0.00%,0.00%,50.00%,$167.62,0,0,0,0,0.00%,0,0,0,5,0,0,0,0,$670.50,2,0.4,2
20210227,2021022715,$334.82,$171.00,2,0.00%,0.00%,25.00%,$83.70,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$334.82,1,0.25,1
20210215,2021021520,$334.22,$315.00,1,0.00%,0.00%,33.33%,$111.41,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$334.22,1,0.33,1
