# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Client_Info,,,,,,,,,,
# 20201001-20210320,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Date,Metro,Region,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
Tashkent,20210101,(not set),Tashkent Region,1,1,1,100.00%,1,00:00:00,0
Tashkent,20210106,(not set),Tashkent Region,1,1,2,50.00%,2,00:12:05,0
Barcelona,20210105,(not set),Anzoategui,1,1,2,100.00%,1,00:00:00,0
Barcelona,20210115,(not set),Anzoategui,1,0,2,100.00%,1,00:00:00,0
Barcelona,20210123,(not set),Anzoategui,1,0,1,100.00%,1,00:00:00,0
Barcelona,20210126,(not set),Anzoategui,1,0,1,100.00%,1,00:00:00,0
Barquisimeto,20210307,(not set),Lara,1,1,2,50.00%,1.5,00:00:14,0
Belgrade,20210119,(not set),(not set),1,1,1,100.00%,1,00:00:00,0
Belgrade,20210214,(not set),(not set),1,0,1,100.00%,1,00:00:00,0
Belgrade,20210305,(not set),(not set),1,1,1,100.00%,1,00:00:00,0
Haiphong,20210116,(not set),Haiphong,1,1,2,100.00%,1,00:00:00,0
Haiphong,20210117,(not set),Haiphong,1,0,1,100.00%,1,00:00:00,0
Da Nang,20210227,(not set),Da Nang,1,1,1,100.00%,1,00:00:00,0
Minato City,20210113,JP_KANTO,Tokyo,1,1,2,0.00%,5,00:05:57,1
Minya,20210222,(not set),Menia Governorate,1,1,1,100.00%,1,00:00:00,0
Sorokyne,20210305,(not set),Luhansk Oblast,1,1,1,100.00%,1,00:00:00,0
Nova Vodolaha,20210207,(not set),Kharkiv Oblast,1,1,1,100.00%,1,00:00:00,0
Rivne,20210303,(not set),Rivne Oblast,1,1,1,100.00%,1,00:00:00,0
Sudak,20210203,(not set),Crimea,1,1,3,66.67%,1.33,00:00:09,0
Sudak,20210204,(not set),Crimea,1,0,1,100.00%,1,00:00:00,0
Sudak,20210206,(not set),Crimea,1,0,1,0.00%,2,00:01:00,0
Sudak,20210209,(not set),Crimea,1,0,1,100.00%,1,00:00:00,0
Sudak,20210217,(not set),Crimea,1,0,1,100.00%,1,00:00:00,0
Yeoju-gun,20210304,(not set),Gyeonggi-do,1,1,1,100.00%,1,00:00:00,0
Guaruja,20201227,(not set),State of Sao Paulo,1,1,1,100.00%,1,00:00:00,0
Moradabad,20210210,(not set),Uttar Pradesh,1,1,1,100.00%,1,00:00:00,0
Secunderabad,20210210,(not set),Telangana,1,1,1,100.00%,1,00:00:00,0
Caotun Township,20210101,(not set),Taiwan Province,1,1,1,100.00%,1,00:00:00,0
Phan Thiet,20210110,(not set),Binh Thuan Province,1,1,4,100.00%,1,00:00:00,0
Boulogne,20210208,(not set),Buenos Aires Province,1,1,1,0.00%,1,00:00:18,0
Ventabren,20210219,(not set),Provence-Alpes-Cote d'Azur,1,1,1,100.00%,1,00:00:00,0
Navsari,20201227,(not set),Gujarat,1,1,1,100.00%,1,00:00:00,0
Arden-Arcade,20210303,Sacramento-Stockton-Modesto CA,California,1,1,1,100.00%,1,00:00:00,0
Atascocita,20201224,Houston TX,Texas,1,1,1,100.00%,1,00:00:00,0
Atascocita,20210203,Houston TX,Texas,1,1,1,0.00%,14,00:10:52,2
Atascocita,20210213,Houston TX,Texas,1,1,1,100.00%,1,00:00:00,0
Atascocita,20210220,Houston TX,Texas,1,1,1,0.00%,3,00:00:48,0
Atascocita,20210225,Houston TX,Texas,1,1,2,0.00%,7,00:08:54,2
Aventura,20210213,Miami-Ft. Lauderdale FL,Florida,1,1,1,0.00%,4,00:01:37,0
Aventura,20210319,Miami-Ft. Lauderdale FL,Florida,1,1,1,0.00%,5,00:03:04,0
Bainbridge,20201230,Cleveland-Akron (Canton) OH,Ohio,1,1,1,0.00%,2,00:00:10,0
Bayonet Point,20210116,Tampa-St. Petersburg (Sarasota) FL,Florida,1,1,1,100.00%,1,00:00:00,0
Bayonet Point,20210120,Tampa-St. Petersburg (Sarasota) FL,Florida,1,0,1,100.00%,1,00:00:00,0
Bayonet Point,20210129,Tampa-St. Petersburg (Sarasota) FL,Florida,1,0,1,100.00%,1,00:00:00,0
Bayonet Point,20210214,Tampa-St. Petersburg (Sarasota) FL,Florida,1,0,1,100.00%,1,00:00:00,0
Bear Creek,20210228,Austin TX,Texas,1,1,1,0.00%,5,00:01:03,0
Beavercreek,20210316,Dayton OH,Ohio,1,1,1,100.00%,1,00:00:00,0
Beckett Ridge,20210203,Cincinnati OH,Ohio,1,1,1,100.00%,1,00:00:00,0
Beckett Ridge,20210222,Cincinnati OH,Ohio,1,1,1,100.00%,1,00:00:00,0
Bee Cave,20210303,Austin TX,Texas,1,1,1,100.00%,1,00:00:00,0
Beechwood,20210107,Grand Rapids-Kalamazoo-Battle Creek MI,Michigan,1,1,1,100.00%,1,00:00:00,0
Belle Isle,20210128,Orlando-Daytona Beach-Melbourne FL,Florida,1,1,1,100.00%,1,00:00:00,0
Bithlo,20210205,Orlando-Daytona Beach-Melbourne FL,Florida,1,1,1,0.00%,4,00:01:56,0
Bithlo,20210319,Orlando-Daytona Beach-Melbourne FL,Florida,1,1,1,0.00%,2,00:00:05,0
Blackhawk,20201223,San Francisco-Oakland-San Jose CA,California,1,1,1,100.00%,1,00:00:00,0
Blackhawk,20210109,San Francisco-Oakland-San Jose CA,California,1,1,1,100.00%,1,00:00:00,0
Blackhawk,20210110,San Francisco-Oakland-San Jose CA,California,1,0,1,100.00%,1,00:00:00,0
Blackhawk,20210209,San Francisco-Oakland-San Jose CA,California,1,1,1,0.00%,12,00:35:52,2
Bloomfield Township,20210123,Detroit MI,Michigan,1,1,1,100.00%,1,00:00:00,0
Bloomfield Township,20210131,Detroit MI,Michigan,1,1,1,100.00%,1,00:00:00,0
Bloomfield Township,20210218,Detroit MI,Michigan,1,1,1,0.00%,3,00:00:50,0
Bloomfield Township,20210228,Detroit MI,Michigan,1,1,1,100.00%,1,00:00:00,0
Bloomfield Township,20210303,Detroit MI,Michigan,1,1,1,100.00%,1,00:00:00,0
Bloomfield Township,20210308,Detroit MI,Michigan,1,1,1,100.00%,1,00:00:00,0
Bloomfield Township,20210311,Detroit MI,Michigan,1,1,1,0.00%,4,00:01:38,0
Bloomfield Township,20210318,Detroit MI,Michigan,1,1,1,0.00%,7,00:09:13,0
Bloomington,20210209,Minneapolis-St. Paul MN,Minnesota,1,1,1,100.00%,1,00:00:00,0
Bluffdale,20210126,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Bluffdale,20210224,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Boca Del Mar,20210117,West Palm Beach-Ft. Pierce FL,Florida,1,1,1,0.00%,8,00:01:53,0
Boca Del Mar,20210309,West Palm Beach-Ft. Pierce FL,Florida,1,1,1,0.00%,11,00:10:54,0
Bordentown,20210130,Philadelphia PA,New Jersey,1,1,1,0.00%,9,00:06:31,0
Boxford,20210315,Boston MA-Manchester NH,Massachusetts,1,1,1,0.00%,2,00:00:07,0
Brambleton,20210313,Washington DC (Hagerstown MD),Virginia,1,1,1,100.00%,1,00:00:00,0
Branchburg,20210215,"New York, NY",New Jersey,1,1,1,0.00%,2,00:00:13,0
Brewster,20210124,Boston MA-Manchester NH,Massachusetts,1,1,1,100.00%,1,00:00:00,0
Brookhaven,20210124,Atlanta GA,Georgia,1,1,1,0.00%,3,00:01:35,0
Brookhaven,20210218,Atlanta GA,Georgia,1,1,2,50.00%,5,00:03:03,0
Brookhaven,20210316,Atlanta GA,Georgia,1,1,1,100.00%,1,00:00:00,0
Brooklyn Park,20210113,Minneapolis-St. Paul MN,Minnesota,1,1,1,100.00%,1,00:00:00,0
Brooklyn Park,20210117,Minneapolis-St. Paul MN,Minnesota,1,0,1,100.00%,1,00:00:00,0
Brooklyn Park,20210123,Minneapolis-St. Paul MN,Minnesota,1,0,1,100.00%,1,00:00:00,0
Brooklyn Park,20210124,Minneapolis-St. Paul MN,Minnesota,1,0,1,100.00%,1,00:00:00,0
