# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20201001-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Browser,Device Category,Date,Sessions,Avg. Session Duration,Bounce Rate,Users,Pages / Session,Transactions
Chrome,desktop,20210125,95,00:00:48,42.11%,73,2.57,0
Chrome,desktop,20210203,90,00:01:33,50.00%,71,2.7,4
Chrome,desktop,20210101,80,00:00:09,28.75%,75,2.46,0
Chrome,desktop,20210202,79,00:01:29,51.90%,65,2.48,2
Chrome,desktop,20210205,78,00:01:31,53.85%,66,2.44,3
Chrome,desktop,20210128,76,00:02:47,52.63%,50,2.89,6
Chrome,desktop,20210301,76,00:02:32,38.16%,63,3.57,3
Chrome,desktop,20210201,75,00:03:36,45.33%,59,3.84,9
Chrome,desktop,20210216,75,00:02:27,33.33%,65,3.71,5
Chrome,desktop,20210127,74,00:00:51,70.27%,41,2.08,1
Chrome,desktop,20201231,73,00:01:04,19.18%,70,2.82,1
Chrome,desktop,20210103,70,00:00:05,74.29%,61,1.7,0
Chrome,desktop,20210215,70,00:03:09,40.00%,52,3.31,5
Chrome,desktop,20210210,68,00:04:06,29.41%,54,4.6,3
Chrome,desktop,20210224,67,00:03:44,38.81%,58,3.9,6
Chrome,desktop,20210226,67,00:01:39,23.88%,62,3.85,5
Chrome,desktop,20210126,65,00:00:38,50.77%,54,2.58,0
Chrome,desktop,20210223,62,00:02:21,45.16%,52,3.15,5
Chrome,desktop,20210120,61,00:01:08,52.46%,51,2.44,2
Chrome,desktop,20210217,60,00:02:47,38.33%,54,3.97,1
Chrome,desktop,20210204,58,00:03:03,53.45%,41,3.97,3
Chrome,desktop,20210219,57,00:01:22,42.11%,46,2.88,0
Chrome,desktop,20210211,56,00:05:39,21.43%,51,6.41,17
Chrome,desktop,20210222,56,00:03:34,33.93%,45,4.43,4
Chrome,desktop,20210119,55,00:01:09,54.55%,52,2.62,0
Chrome,desktop,20210218,55,00:03:17,38.18%,47,5.24,2
Chrome,desktop,20210307,54,00:03:11,44.44%,43,3.65,5
Chrome,desktop,20210208,53,00:02:29,39.62%,37,3.55,5
Chrome,desktop,20210308,52,00:04:03,36.54%,46,3.73,6
Chrome,desktop,20210102,51,00:00:13,43.14%,47,2.12,0
Chrome,desktop,20210130,51,00:00:38,52.94%,36,2.9,0
Chrome,desktop,20210114,50,00:02:54,46.00%,46,3.6,0
Chrome,desktop,20210212,49,00:01:28,46.94%,45,3.63,6
Chrome,desktop,20210109,48,00:00:10,47.92%,43,2.06,0
Chrome,desktop,20210118,47,00:01:18,42.55%,36,2.62,1
Chrome,desktop,20210214,47,00:03:46,55.32%,38,3.83,5
Chrome,desktop,20210302,47,00:02:06,44.68%,42,2.53,0
Chrome,desktop,20201230,46,00:01:50,47.83%,42,2.67,0
Chrome,desktop,20210105,46,00:01:22,47.83%,42,3.24,6
Chrome,desktop,20210111,46,00:00:31,60.87%,39,2.26,0
Chrome,desktop,20210207,46,00:08:24,34.78%,30,5.48,14
Chrome,desktop,20210213,46,00:02:02,41.30%,35,3.15,3
Chrome,desktop,20210108,45,00:02:25,57.78%,38,2.8,0
Chrome,desktop,20210112,45,00:00:50,46.67%,44,2.49,2
Chrome,desktop,20210104,44,00:00:24,86.36%,36,1.55,0
Chrome,desktop,20210123,44,00:00:27,63.64%,36,2.3,0
Chrome,desktop,20210124,44,00:01:00,63.64%,38,2.52,2
Chrome,desktop,20210304,44,00:01:38,45.45%,42,2.91,2
Safari,mobile,20210211,44,00:02:33,36.36%,33,3.16,1
Chrome,desktop,20210209,43,00:04:07,41.86%,33,3.93,3
Chrome,desktop,20210107,42,00:03:12,61.90%,34,3,3
Chrome,desktop,20210303,42,00:02:00,47.62%,41,3.43,0
Chrome,desktop,20210305,42,00:01:09,57.14%,38,3.29,3
Chrome,desktop,20210106,41,00:02:44,56.10%,34,3.32,5
Chrome,desktop,20210117,41,00:01:19,43.90%,39,2.66,2
Chrome,desktop,20201228,40,00:03:40,47.50%,30,3.6,0
Chrome,desktop,20201229,40,00:05:20,55.00%,26,3.72,0
Chrome,desktop,20210227,40,00:02:42,37.50%,32,4.58,2
Safari,mobile,20210221,40,00:02:55,45.00%,33,3.25,3
Chrome,desktop,20210121,39,00:02:05,58.97%,35,2.41,0
Safari,mobile,20210210,39,00:02:23,33.33%,29,3.51,4
Chrome,desktop,20210113,38,00:02:24,57.89%,29,2.63,3
Chrome,desktop,20210316,38,00:03:41,26.32%,28,4.74,9
Safari,mobile,20210204,38,00:03:27,42.11%,31,2.58,2
Chrome,desktop,20210115,37,00:00:43,67.57%,29,2.14,3
Chrome,desktop,20210225,36,00:01:47,47.22%,34,3.47,2
Chrome,desktop,20210228,36,00:02:02,41.67%,33,3.39,1
Chrome,desktop,20210309,36,00:04:16,41.67%,34,3.92,3
Safari,mobile,20210203,35,00:02:26,34.29%,28,3.23,2
Safari,mobile,20210227,35,00:02:37,25.71%,23,3.77,3
Chrome,desktop,20201218,34,00:07:21,44.12%,17,4.71,0
Safari,mobile,20210126,34,00:01:34,50.00%,27,3.79,0
Safari,mobile,20210127,34,00:03:17,35.29%,20,4.41,3
Chrome,desktop,20210110,33,00:00:09,63.64%,29,1.94,0
Chrome,desktop,20210220,33,00:01:41,63.64%,27,3.06,3
Safari,mobile,20210130,33,00:02:23,48.48%,28,3.64,1
Safari,mobile,20210218,33,00:02:50,27.27%,28,4,4
Chrome,desktop,20201221,32,00:03:58,25.00%,16,3.38,0
Chrome,desktop,20210116,32,00:00:59,46.88%,29,2.94,0
Chrome,desktop,20210206,32,00:01:14,62.50%,31,2.62,1
Chrome,desktop,20210221,32,00:01:38,59.38%,30,2.94,3
Safari,mobile,20210124,32,00:06:38,46.88%,28,4.59,0
Safari,mobile,20210205,32,00:01:03,68.75%,22,2.06,2
Safari,mobile,20210208,32,00:02:01,53.12%,23,2.81,1
Chrome,desktop,20201216,31,00:09:19,19.35%,12,4.29,0
Chrome,desktop,20201224,31,00:00:26,87.10%,30,1.29,0
Safari,mobile,20210206,31,00:03:39,41.94%,27,3.29,1
Safari,mobile,20210304,31,00:02:10,58.06%,21,3.1,1
Safari,mobile,20210207,30,00:02:51,50.00%,21,3.3,3
Safari,mobile,20210222,30,00:01:05,56.67%,23,2.5,1
Safari,mobile,20210224,30,00:02:01,36.67%,26,2.77,0
Safari,mobile,20210302,30,00:02:00,63.33%,25,1.93,1
Chrome,desktop,20210129,29,00:00:24,58.62%,27,2.03,0
Chrome,desktop,20210306,29,00:02:32,41.38%,28,3.34,2
Safari,mobile,20210214,29,00:00:45,44.83%,26,2.86,0
Safari,mobile,20210215,29,00:01:34,44.83%,26,2.34,1
Safari,mobile,20210317,29,00:04:29,44.83%,26,2.66,1
Chrome,desktop,20201217,28,00:07:39,21.43%,12,3.04,0
Chrome,desktop,20210310,28,00:05:27,25.00%,22,6.25,2
Safari,mobile,20210121,28,00:02:49,53.57%,23,4.46,2
Safari,mobile,20210301,28,00:02:40,46.43%,21,3,3
Safari,mobile,20210307,28,00:04:08,28.57%,22,3.25,1
Chrome,desktop,20210311,27,00:04:02,14.81%,23,5.44,2
Edge,desktop,20210104,27,00:00:00,100.00%,14,1,0
Safari,mobile,20210120,27,00:01:39,55.56%,24,2.67,1
Safari,mobile,20210125,27,00:02:33,66.67%,23,2.04,2
Safari,mobile,20210219,27,00:01:54,29.63%,24,2.89,0
Safari,mobile,20210308,27,00:01:21,33.33%,20,2.67,1
Safari,mobile,20210309,27,00:01:36,37.04%,20,3.89,1
Edge,desktop,20210119,26,00:00:11,96.15%,9,1.04,0
Safari,mobile,20201229,26,00:00:16,76.92%,23,1.42,0
Safari,mobile,20210305,26,00:02:44,26.92%,16,3.08,2
Safari,mobile,20210316,26,00:01:39,61.54%,19,2.73,3
Safari,desktop,20210224,25,00:03:12,40.00%,19,4.32,4
Safari,mobile,20210101,25,00:00:14,72.00%,21,1.64,0
Safari,mobile,20210225,25,00:01:14,64.00%,19,2.04,0
Safari,mobile,20210228,25,00:02:54,40.00%,24,3.76,2
Safari,mobile,20210311,25,00:02:43,56.00%,22,2.44,1
Safari,mobile,20210320,25,00:01:58,52.00%,20,2.64,1
Safari,mobile,20210212,24,00:01:54,58.33%,17,2.17,0
Safari,mobile,20210217,24,00:00:41,54.17%,23,2.12,0
Safari,mobile,20210220,24,00:01:11,25.00%,19,2.62,0
Chrome,desktop,20201222,23,00:04:54,47.83%,13,3.09,0
Chrome,desktop,20210131,23,00:00:58,56.52%,12,2.43,0
Chrome,mobile,20210103,23,00:00:41,65.22%,17,2,0
Safari,mobile,20210213,23,00:01:03,69.57%,19,2.48,1
Safari,mobile,20210314,23,00:05:13,52.17%,17,3.43,3
Safari,mobile,20210315,23,00:04:15,39.13%,20,2.61,0
Chrome,desktop,20210315,22,00:05:47,18.18%,19,4.95,1
Chrome,desktop,20210318,22,00:04:33,22.73%,16,4.64,2
Safari,mobile,20210202,22,00:02:18,45.45%,19,3.23,2
Safari,mobile,20210303,22,00:02:14,50.00%,18,2.5,0
Safari,mobile,20210128,21,00:02:16,47.62%,14,3.52,4
Safari,mobile,20210131,21,00:00:39,61.90%,16,1.86,0
Safari,mobile,20210209,21,00:04:21,61.90%,16,2.76,2
Safari,mobile,20210313,21,00:01:21,47.62%,16,1.86,0
Chrome,desktop,20201223,20,00:02:45,45.00%,17,1.95,0
Chrome,desktop,20210317,20,00:01:49,40.00%,20,2.9,0
Safari,mobile,20210318,20,00:02:01,55.00%,18,3.2,1
Safari,desktop,20210214,19,00:03:16,47.37%,12,3.79,1
Safari,mobile,20201231,19,00:02:56,47.37%,18,2.79,0
Safari,mobile,20210105,19,00:01:12,42.11%,19,3,1
