# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,,,,,,,,,,
# 20201001-20210320,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Hour,Avg. Session Duration,Avg. Time on Page,Avg. Time on Screen,Bounce Rate,Bounces,Exits,Hits,New Users,Number of Sessions per User,Pages / Session,Pageviews,Results Pageviews / Search,Screen Views,Screens / Session,Session Duration,Sessions,Total Unique Searches,Unique Pageviews,Unique Screen Views,Users
20201216,11,00:43:11,00:03:18,00:00:00,0.00%,0,2,34,1,1,8,24,0,0,0,02:09:34,3,0,13,0,3
20201217,13,00:26:25,00:00:00,00:00:00,0.00%,0,0,1,0,1,0,0,0,0,0,00:26:25,1,0,0,0,1
20210311,20,00:24:44,00:12:12,00:00:00,0.00%,0,0,2,1,1,2,2,0,0,0,00:24:44,1,0,2,0,1
20201217,15,00:23:47,00:13:37,00:00:00,0.00%,0,1,5,0,1,1.5,3,0,0,0,00:47:33,2,0,2,0,2
20201217,17,00:22:42,00:02:54,00:00:00,0.00%,0,3,20,2,1.33,4,16,0,0,0,01:30:49,4,0,11,0,3
20210319,8,00:22:26,00:04:28,00:00:00,0.00%,0,2,29,3,1,5.67,17,0,0,0,01:07:18,3,0,10,0,3
20210106,18,00:21:37,00:03:36,00:00:00,0.00%,0,1,8,1,1,7,7,0,0,0,00:21:37,1,0,6,0,1
20210210,0,00:20:55,00:01:50,00:00:00,33.33%,1,1,31,2,1,9,27,0,0,0,01:02:44,3,0,22,0,3
20210218,21,00:20:17,00:06:53,00:00:00,0.00%,0,1,7,1,2,3,6,0,0,0,00:40:33,2,0,6,0,1
20210210,22,00:19:46,00:01:54,00:00:00,0.00%,0,2,42,2,1,11,33,0,0,0,00:59:17,3,0,20,0,3
20201222,11,00:19:39,00:09:52,00:00:00,50.00%,2,3,8,1,1,2,8,0,0,0,01:18:35,4,0,7,0,4
20201215,15,00:18:39,00:12:42,00:00:00,50.00%,1,2,3,2,0.67,1.5,3,0,0,0,00:37:17,2,0,2,0,3
20210307,11,00:18:06,00:01:14,00:00:00,33.33%,2,4,66,5,1,8.5,51,0,0,0,01:48:36,6,0,26,0,6
20201215,10,00:17:55,00:01:07,00:00:00,0.00%,0,0,16,1,1,16,16,0,0,0,00:17:55,1,0,5,0,1
20210314,7,00:16:03,00:00:40,00:00:00,0.00%,0,1,32,1,1,25,25,0,0,0,00:16:03,1,0,20,0,1
